#name	value
ENSRNOT00000034854	Galp
ENSRNOT00000020787	Zfp444
ENSRNOT00000059069	Zfp787
ENSRNOT00000041542	Nlrp5
ENSRNOT00000045085	Vom2r71
ENSRNOT00000029752	Vom2r71
ENSRNOT00000037286	Vom2r71
ENSRNOT00000046152	Nlrp4
ENSRNOT00000059037	RGD1564651
ENSRNOT00000050817	Obox2
ENSRNOT00000044754	Vom1r32
ENSRNOT00000029591	Nlrp9
ENSRNOT00000053809	5S_rR1
ENSRNOT00000064246	Vom1r34
ENSRNOT00000047147	Vom2r31
ENSRNOT00000040441	Vom2r29
ENSRNOT00000036413	Lair1
ENSRNOT00000068459	TTYH1
ENSRNOT00000025338	Leng8
ENSRNOT00000025138	Leng9
ENSRNOT00000025110	Cdc42ep5
ENSRNOT00000038802	Lilra5
ENSRNOT00000038898	Lilrb4
ENSRNOT00000039823	Kir3dl1
ENSRNOT00000029621	Fcar
ENSRNOT00000025080	Ncr1
ENSRNOT00000073464	Nlrp2
ENSRNOT00000075566	Nlrp2
ENSRNOT00000071927	Gp6
ENSRNOT00000075537	Gp6
ENSRNOT00000031462	Rdh13
ENSRNOT00000032306	Eps8l1
ENSRNOT00000032627	Ppp1r12c
ENSRNOT00000034957	Tnnt1
ENSRNOT00000058843	Tnnt1
ENSRNOT00000073491	Tnnt1
ENSRNOT00000024640	Tnni3
ENSRNOT00000058900	Dnaaf3
ENSRNOT00000024547	Syt5
ENSRNOT00000024492	Ptprh
ENSRNOT00000041527	Tmem86b
ENSRNOT00000024400	Ppp6r1
ENSRNOT00000024251	Hspbp1
ENSRNOT00000031172	Brsk1
ENSRNOT00000032439	Tmem150b
ENSRNOT00000023744	Suv420h2
ENSRNOT00000033197	Cox6b2
ENSRNOT00000048976	Fam71e2
ENSRNOT00000065051	Fam71e2
ENSRNOT00000023489	Il11
ENSRNOT00000066383	Tmem190
ENSRNOT00000023246	Tmem238
ENSRNOT00000058943	RGD1565183
ENSRNOT00000022977	Ube2s
ENSRNOT00000022698	Shisa7
ENSRNOT00000022620	Isoc2b
ENSRNOT00000071971	Isoc2a
ENSRNOT00000029136	Zfp628
ENSRNOT00000068550	Nat14
ENSRNOT00000022480	Ssc5d
ENSRNOT00000058956	Sbk2
ENSRNOT00000066307	Gm1078
ENSRNOT00000022349	Zfp579
ENSRNOT00000022236	Fiz1
ENSRNOT00000031786	Zfp865
ENSRNOT00000021917	Zfp865
ENSRNOT00000021772	Zfp580
ENSRNOT00000021613	Ccdc106
ENSRNOT00000021391	U2af2
ENSRNOT00000021286	Epn1
ENSRNOT00000021077	Rfpl4a
ENSRNOT00000050233	RASL2-9
ENSRNOT00000058997	Vom1r38
ENSRNOT00000058999	Vom1r37
ENSRNOT00000047856	Vom1r36
ENSRNOT00000049179	Vom1r35
ENSRNOT00000048444	Vom1r58
ENSRNOT00000074520	RGD1564801
ENSRNOT00000047760	Vom1r59
ENSRNOT00000050604	Vom1r60
ENSRNOT00000018981	Vom1r61
ENSRNOT00000044964	Vom1r62
ENSRNOT00000018989	RGD1310257
ENSRNOT00000064517	RGD1310257
ENSRNOT00000019799	Lig1
ENSRNOT00000033633	Pla2g4cl1
ENSRNOT00000058334	Pla2g4c
ENSRNOT00000020090	Cabp5
ENSRNOT00000071105	Bsph2
ENSRNOT00000052129	Sult2a6
ENSRNOT00000041367	Sult2a1
ENSRNOT00000018559	Sepw1
ENSRNOT00000039628	Obox1
ENSRNOT00000018858	Crx
ENSRNOT00000017555	Gltscr2
ENSRNOT00000017353	Ehd2
ENSRNOT00000015059	Gltscr1
ENSRNOT00000058241	Zfp541
ENSRNOT00000002044	Napa
ENSRNOT00000002043	KPTN
ENSRNOT00000047289	Slc8a2
ENSRNOT00000039538	Meis3
ENSRNOT00000068406	Meis3
ENSRNOT00000075327	Dhx34
ENSRNOT00000071576	C5ar2
ENSRNOT00000073034	C5ar1
ENSRNOT00000071098	Prr24
ENSRNOT00000075700	Ccdc9
ENSRNOT00000071296	Bbc3
ENSRNOT00000020402	Sae1
ENSRNOT00000068268	Zc3h4
ENSRNOT00000020509	Zc3h4
ENSRNOT00000037198	Zc3h4
ENSRNOT00000020609	Tmem160
ENSRNOT00000020855	Npas1
ENSRNOT00000058172	GNG5
ENSRNOT00000071271	Ceacam9
ENSRNOT00000021310	Ap2s1
ENSRNOT00000064332	Slc1a5
ENSRNOT00000021455	Slc1a5
ENSRNOT00000021586	Fkrp
ENSRNOT00000021976	Strn4
ENSRNOT00000022360	Prkd2
ENSRNOT00000073043	Dact3
ENSRNOT00000022441	Gng8
ENSRNOT00000022461	Ptgir
ENSRNOT00000022603	Calm3
ENSRNOT00000022610	Pnmal2
ENSRNOT00000029825	Pnmal1
ENSRNOT00000023078	Ppp5c
ENSRNOT00000023490	Hif3a
ENSRNOT00000037086	Cgm4
ENSRNOT00000058060	Psg16
ENSRNOT00000023663	Ceacam3
ENSRNOT00000037132	Psgb1
ENSRNOT00000043333	Psg29
ENSRNOT00000023686	Ceacam11
ENSRNOT00000044927	Igfl3
ENSRNOT00000042613	Igfl3
ENSRNOT00000072039	Igfl3
ENSRNOT00000035286	Mill1
ENSRNOT00000070207	5S_rR1
ENSRNOT00000057988	Psg19
ENSRNOT00000057986	Psg19
ENSRNOT00000018233	Pglyrp1
ENSRNOT00000018495	Ccdc61
ENSRNOT00000057965	Nova2
ENSRNOT00000057963	Nanos2
ENSRNOT00000019069	Mypop
ENSRNOT00000057960	Gm10676
ENSRNOT00000019075	Irf2bp1
ENSRNOT00000019219	Foxa3
ENSRNOT00000019814	Sympk
ENSRNOT00000020084	Rsph6a
ENSRNOT00000071916	Dmwd
ENSRNOT00000020134	Dmwd
ENSRNOT00000020428	Dmpk
ENSRNOT00000067933	Dmpk
ENSRNOT00000041817	Dmpk
ENSRNOT00000038152	Dmpk
ENSRNOT00000020597	Six5
ENSRNOT00000012082	Fbxo46
ENSRNOT00000021200	Qpctl
ENSRNOT00000021221	Snrpd2
ENSRNOT00000021456	Gipr
ENSRNOT00000041215	Eml2
ENSRNOT00000053688	Mir330
ENSRNOT00000021893	Gpr4
ENSRNOT00000029552	OPA3
ENSRNOT00000022214	Vasp
ENSRNOT00000022528	Rtn2
ENSRNOT00000072149	Fosb
ENSRNOT00000024113	Ercc1
ENSRNOT00000034266	Cd3eap
ENSRNOT00000047105	Ppp1r13l
ENSRNOT00000024246	Ercc2
ENSRNOT00000054424	Mir343
ENSRNOT00000068092	Klc3
ENSRNOT00000022895	Ckm
ENSRNOT00000022577	A930016O22Rik
ENSRNOT00000023392	Mark4
ENSRNOT00000023451	Exoc3l2
ENSRNOT00000023457	Bloc1s3
ENSRNOT00000023652	Trappc6a
ENSRNOT00000067272	Nkpd1
ENSRNOT00000023867	Ppp1r37
ENSRNOT00000074418	Gemin7
ENSRNOT00000074579	Zfp296
ENSRNOT00000075144	Clasrp
ENSRNOT00000057802	Relb
ENSRNOT00000040060	Relb
ENSRNOT00000067049	Relb
ENSRNOT00000052387	Relb
ENSRNOT00000071090	Relb
ENSRNOT00000073352	Relb
ENSRNOT00000024779	Clptm1
ENSRNOT00000024800	Apoc2
ENSRNOT00000024832	Apoc4
ENSRNOT00000046169	Apoc1
ENSRNOT00000041891	Apoe
ENSRNOT00000025281	Tomm40
ENSRNOT00000025388	Pvrl2
ENSRNOT00000045574	Bcam
ENSRNOT00000025829	Cblc
ENSRNOT00000025913	Bcl3
ENSRNOT00000045306	Ceacam16
ENSRNOT00000045073	Ceacam19
ENSRNOT00000064305	PVR
ENSRNOT00000043096	PVR
ENSRNOT00000067615	Igsf23
ENSRNOT00000074412	Igsf23
ENSRNOT00000026006	Igsf23
ENSRNOT00000026060	Ceacam20
ENSRNOT00000026077	Zfp180
ENSRNOT00000030440	Zfp112
ENSRNOT00000051473	Zfp111
ENSRNOT00000026252	Zfp61
ENSRNOT00000026263	Zfp94
ENSRNOT00000026268	Tescl
ENSRNOT00000026288	Lypd5
ENSRNOT00000026489	Kcnn4
ENSRNOT00000026669	Smg9
ENSRNOT00000030900	Irgc
ENSRNOT00000075167	Plaur
ENSRNOT00000074985	Plaur
ENSRNOT00000018222	Plaur
ENSRNOT00000026793	Cadm4
ENSRNOT00000026814	Zfp428
ENSRNOT00000072750	Irgq
ENSRNOT00000026946	Pinlyp
ENSRNOT00000027057	Xrcc1
ENSRNOT00000035356	Zfp575
ENSRNOT00000027075	Ethe1
ENSRNOT00000034460	Phldb3
ENSRNOT00000027100	Lypd3
ENSRNOT00000027202	Tex101
ENSRNOT00000051671	RGD1564380
ENSRNOT00000075282	RGD1564380
ENSRNOT00000074350	RGD1565655
ENSRNOT00000027214	Ceacam10
ENSRNOT00000034553	CEACAM6
ENSRNOT00000057600	CEACAM6
ENSRNOT00000027226	Lypd4
ENSRNOT00000027242	Dmrtc2
ENSRNOT00000027246	Rps19
ENSRNOT00000065865	Arhgef1
ENSRNOT00000027435	Rabac1
ENSRNOT00000027497	Atp1a3
ENSRNOT00000027578	Grik5
ENSRNOT00000027583	Zfp574
ENSRNOT00000048002	POU2F2
ENSRNOT00000027649	POU2F2
ENSRNOT00000046678	POU2F2
