ensembl_transcript_id,GeneName,logfc,pvalue,fdr
ENSRNOT00000000083,Tmed5,-0.409269959650214,0.18358345405671,0.60027226330095
ENSRNOT00000000084,Espn,NA,NA,NA
ENSRNOT00000000086,Mtf2,0.058697920278972,0.771165148091276,0.946752791818568
ENSRNOT00000000092,Antxr2,-0.566460016738504,0.342275670632466,NA
ENSRNOT00000000101,Rfxap,0.506908046079982,0.022007084904632,0.261699439110634
ENSRNOT00000000102,Smad9,0.216693506743464,0.697540683376198,NA
ENSRNOT00000000104,ENSRNOT00000000104,-0.202417688715087,0.772532599193842,NA
ENSRNOT00000000106,Gpr89b,-0.043237406463775,0.851269211438564,0.96678470327827
ENSRNOT00000000107,Pdzk1,0.314652993829644,0.27128081899639,0.689336815516619
ENSRNOT00000000109,Cd160,-0.022800887053108,0.953070230828385,NA
ENSRNOT00000000110,Rnf115,0.548818614150068,0.010067913688924,0.186973313507766
ENSRNOT00000000116,Thoc3,0.430195905141425,0.104212251706562,0.487228124809582
ENSRNOT00000000117,Cplx2,-1.13826167798117,0.000223954766709,0.03198553971677
ENSRNOT00000000120,Aga,-0.235583477789663,0.287903334724595,0.701885045049983
ENSRNOT00000000121,Fgf20,NA,NA,NA
ENSRNOT00000000123,Coprs,0.326425304115238,0.121183318118117,0.521649181005758
ENSRNOT00000000124,Champ1,-0.269232838672249,0.233395382282553,0.655819094185472
ENSRNOT00000000125,Elac1,0.343759175726397,0.298556841865739,0.709405116233565
ENSRNOT00000000129,Piezo2,-0.318408889956267,0.616697681527134,NA
ENSRNOT00000000133,Pigv,-0.424403848419866,0.170062440510131,0.585155490291971
ENSRNOT00000000134,RGD1562178,-0.243811761623051,0.3890596285834,0.770790069394591
ENSRNOT00000000136,ENSRNOT00000000136,NA,NA,NA
ENSRNOT00000000139,Kpna6,-0.124930901487319,0.728421923820459,0.931787373983445
ENSRNOT00000000141,RGD1559864,NA,NA,NA
ENSRNOT00000000142,Dnajb5,0.225270768431179,0.269768654668202,0.688305944290603
ENSRNOT00000000146,Txndc15,0.256584687104834,0.210859498615502,0.633216628133803
ENSRNOT00000000149,Ly86,-0.001977853472578,0.996376838720752,0.999920241490211
ENSRNOT00000000155,Plxdc2,-0.145507412333776,0.557186327537531,0.863301219169767
ENSRNOT00000000157,Pik3r3,-0.217010324519162,0.512512656224515,0.843153839344153
ENSRNOT00000000158,NEBL,-0.966766191681449,0.036599265066776,NA
ENSRNOT00000000161,Mast2,0.255505529722993,0.234084773034343,0.656000945660081
ENSRNOT00000000162,Dnajc1,-0.285325263447745,0.236300246617394,0.657380089388086
ENSRNOT00000000163,Ldlrap1,0.040508529926376,0.920519178795444,0.983754950203818
ENSRNOT00000000167,Ubxn10,-0.757374872840636,0.280129740106478,NA
ENSRNOT00000000168,Cog3,0.424600206539574,0.353790867564839,0.749766655745517
ENSRNOT00000000169,Megf6,-0.348885231896671,0.438091103236488,NA
ENSRNOT00000000170,Atg12,0.120562122652271,0.533226184668857,0.852458003688864
ENSRNOT00000000172,Cdo1,0.107892128000448,0.579950688785711,0.874338595617573
ENSRNOT00000000173,Dusp21,NA,NA,NA
ENSRNOT00000000174,Chm,-0.404147370319631,0.066429014105299,0.413140944645554
ENSRNOT00000000177,Lamp2,-0.309658050084644,0.217023620026274,0.637701412493642
ENSRNOT00000000178,Pfkfb1,NA,NA,NA
ENSRNOT00000000180,Alas2,0.267495114932759,0.440489237804684,0.804223008057038
ENSRNOT00000000181,Gatm,0.019753991876395,0.919717334207747,0.983584316142837
