ensembl_transcript_id,GeneName,logfc,pvalue,fdr
ENSRNOT00000000170,Atg12,-0.027340767094205,0.907380858411095,0.965054935966653
ENSRNOT00000000172,Cdo1,-0.212135858081173,0.34547082442314,0.698928829159253
ENSRNOT00000000173,Dusp21,NA,NA,NA
ENSRNOT00000000174,Chm,-0.616514074418266,0.019654295348301,NA
ENSRNOT00000000177,Lamp2,-0.544269899202233,0.011104531621642,0.175161543480272
ENSRNOT00000000178,Pfkfb1,NA,NA,NA
ENSRNOT00000000180,Alas2,0.148185157662948,0.668230177468629,NA
ENSRNOT00000000181,Gatm,-0.341151962214224,0.138573350577042,0.494189211540512
ENSRNOT00000000184,Slc30a4,-0.243073998195608,0.408319484878171,0.739704559476623
ENSRNOT00000000193,Ppap2c,0.235683505651064,0.48124805470656,NA
ENSRNOT00000000199,Jrk,0.187232410036021,0.478769334363587,NA
